,mean_inoculum_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
44,6.0,0.8940586972083036,11012,4,0.28543575914740305,40179,0.468,0.36752136752136755,0.17200000000000001
45,5.0,0.8485885372112917,10965,5,0.32731192749637206,39654,0.45,0.21333333333333335,0.096
46,4.0,0.8613312202852615,10823,5,0.3774239550912075,39406,0.51,0.3137254901960784,0.16
47,3.0,0.8215077605321508,10773,5,0.40705914047161895,38754,0.512,0.37109375,0.19
48,2.0,0.7449664429530202,10543,6,0.4995364619675747,39547,0.442,0.31221719457013575,0.138
49,1.0,0.7514285714285714,10652,5,0.5312557066003307,40570,0.556,0.37410071942446044,0.20800000000000002
50,10.0,0.9299492385786802,11187,4,0.21614603952510392,41805,0.536,0.22761194029850745,0.122
51,9.0,0.9222087867795243,11359,4,0.21691338876896518,42098,0.522,0.26053639846743293,0.13599999999999998
52,8.0,0.9185418541854186,11079,4,0.23048253644747374,40812,0.48,0.24583333333333332,0.118
53,7.0,0.8970203868269734,10940,4,0.2670929016172641,40516,0.522,0.24521072796934865,0.128
54,6.0,0.8841726618705036,11155,4,0.288461021814572,41046,0.466,0.3090128755364807,0.14400000000000002
55,5.0,0.8755787037037037,11226,5,0.3227746718386719,41121,0.562,0.23487544483985764,0.132
56,4.0,0.8491508491508492,11077,5,0.35469795585619285,39075,0.44,0.31363636363636366,0.138
57,3.0,0.7993384785005513,10759,5,0.4129125622350674,38856,0.506,0.28063241106719367,0.142
58,2.0,0.7971428571428572,10757,5,0.49483648123384943,39386,0.484,0.4132231404958678,0.2
59,1.0,0.7605633802816901,10709,6,0.5790768703776641,43032,0.466,0.41630901287553645,0.194
60,10.0,0.9196390201976794,11580,4,0.2135521236960873,43637,0.442,0.15384615384615385,0.068
61,9.0,0.9315121200461716,11313,4,0.2291972520402145,42055,0.494,0.2793522267206478,0.138
62,8.0,0.9100087796312555,11267,5,0.25695749922630057,41995,0.54,0.24074074074074073,0.13
