,mean_inoculum_host,mean_inoculum_vector,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
3347,6.684210526315789,6.684210526315789,0.6956521739130435,927,4,0.3778645896973104,3305,0.18,0.2222222222222222,0.039999999999999994
3348,6.684210526315789,6.210526315789474,0.7906976744186046,881,4,0.41227786503058,2730,0.144,0.5,0.072
3349,6.684210526315789,5.736842105263158,0.941747572815534,955,4,0.41585921438557055,3402,0.176,0.8636363636363636,0.152
3350,6.684210526315789,5.2631578947368425,0.8320610687022901,867,4,0.3761795104092251,2422,0.184,0.5217391304347826,0.096
3351,6.684210526315789,4.7894736842105265,0.676923076923077,1012,4,0.464950241372307,3476,0.116,0.27586206896551724,0.032
3352,6.684210526315789,4.315789473684211,0.6384615384615384,819,3,0.34027023038012044,2144,0.22,0.14545454545454545,0.032
3353,6.684210526315789,3.8421052631578947,0.6611570247933884,892,5,0.43735043938144746,2600,0.212,0.22641509433962265,0.048
3354,6.684210526315789,3.3684210526315796,0.5813953488372093,851,4,0.3557161616733477,2201,0.24,0.1,0.024
3355,6.684210526315789,2.8947368421052637,0.7666666666666667,973,5,0.5124824527399077,2971,0.156,0.46153846153846156,0.07200000000000001
3356,6.684210526315789,2.421052631578948,0.5844155844155844,717,4,0.557440443191743,2115,0.168,0.23809523809523808,0.04
3357,6.684210526315789,1.9473684210526319,0.7313432835820896,960,6,0.6718359374999999,3564,0.184,0.6086956521739131,0.112
3358,6.684210526315789,1.4736842105263168,0.5909090909090909,935,4,0.3606119706025337,2084,0.208,0.3076923076923077,0.064
3359,6.684210526315789,1.0,1.0,887,5,0.600257508874905,5119,0.18,1.0,0.18
3360,6.210526315789474,10.0,1.0,895,5,0.6533204331949688,5545,0.1,1.0,0.1
3361,6.210526315789474,9.526315789473685,0.7986111111111112,925,4,0.4616204528853177,3555,0.18,0.35555555555555557,0.064
3362,6.210526315789474,9.052631578947368,0.7124183006535948,880,5,0.48235408057851237,3537,0.204,0.13725490196078433,0.028
3363,6.210526315789474,8.578947368421053,0.9029126213592233,872,5,0.5183223213534213,3774,0.16,0.75,0.12
3364,6.210526315789474,8.105263157894736,0.8395061728395061,845,4,0.4494716571548616,2958,0.236,0.559322033898305,0.13199999999999998
3365,6.210526315789474,7.631578947368421,0.782608695652174,968,5,0.5933924851444574,3749,0.176,0.3181818181818182,0.055999999999999994
3366,6.210526315789474,7.157894736842105,0.6985294117647058,1017,4,0.4497891788465313,3661,0.22,0.2545454545454545,0.055999999999999994
3367,6.210526315789474,6.684210526315789,0.7411764705882353,835,5,0.525583563412098,2905,0.144,0.3888888888888889,0.055999999999999994
3368,6.210526315789474,6.210526315789474,0.8855421686746988,862,4,0.5549509854059786,3127,0.256,0.703125,0.18
3369,6.210526315789474,5.736842105263158,0.7672727272727272,946,6,0.7103906958865411,3536,0.316,0.189873417721519,0.060000000000000005
3370,6.210526315789474,5.2631578947368425,0.6333333333333333,898,5,0.5176474819073317,3449,0.164,0.1951219512195122,0.032
3371,6.210526315789474,4.7894736842105265,0.7697841726618705,1008,4,0.4707331427941548,3757,0.22,0.41818181818181815,0.092
3372,6.210526315789474,4.315789473684211,0.6138613861386139,915,4,0.399613007256114,2766,0.224,0.30357142857142855,0.06799999999999999
3373,6.210526315789474,3.8421052631578947,0.7874015748031497,972,4,0.4706716032447628,3201,0.228,0.5263157894736842,0.12
3374,6.210526315789474,3.3684210526315796,0.7339449541284404,918,5,0.5226289983434671,3496,0.192,0.3958333333333333,0.076
3375,6.210526315789474,2.8947368421052637,0.6739130434782609,945,5,0.3673424596175919,2270,0.26,0.3076923076923077,0.08
3376,6.210526315789474,2.421052631578948,0.8735632183908046,888,4,0.3565546120444769,2211,0.168,0.7380952380952381,0.12400000000000001
3377,6.210526315789474,1.9473684210526319,0.6990291262135923,820,4,0.3528182629387269,1973,0.212,0.41509433962264153,0.088
3378,6.210526315789474,1.4736842105263168,0.5,930,4,0.35327667938490004,2171,0.204,0.35294117647058826,0.072
3379,6.210526315789474,1.0,0.5087719298245614,879,5,0.6365233012485746,3092,0.172,0.3488372093023256,0.06
