,migration_rate,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
1147,0.0015,1.0,1389,11,6.654591952298245,56572,0.42,1.0,0.42
1148,0.0015,1.0,1461,9,3.0185648208661333,21426,0.22,1.0,0.22
1149,0.0015,,949,8,3.083834017506088,20296,0.0,,
1150,0.0015,,906,7,3.019935772797489,14166,0.0,,
1151,0.0015,1.0,1545,12,6.65957415611483,48366,0.24,1.0,0.24
1152,0.0015,1.0,1336,7,1.1021544112374058,9075,0.35,1.0,0.35
1153,0.0015,1.0,1548,10,3.4665885463613972,28902,0.45,1.0,0.45
1154,0.0015,1.0,1233,9,2.480659927158586,32568,0.23,1.0,0.23
1155,0.0015,1.0,1329,11,5.8990409576043135,44657,0.35,1.0,0.35
1156,0.0015,1.0,1436,8,1.8082572295373254,11284,0.16,1.0,0.16
1157,0.0015,1.0,1203,10,3.042702194361699,13017,0.25,1.0,0.25
1158,0.0015,1.0,1240,9,3.998526925078044,17509,0.3,1.0,0.3
1159,0.0015,1.0,1255,10,5.605032301074587,40266,0.32,1.0,0.32
1160,0.0015,1.0,1509,12,5.387882995817892,42819,0.21,1.0,0.21
1161,0.0015,1.0,1523,9,1.8491366135107603,14190,0.29,1.0,0.29
1162,0.0015,1.0,1466,12,6.669139420311973,41887,0.15,1.0,0.15
1163,0.0015,,345,6,1.1219155639571519,1840,0.0,,
1164,0.0015,1.0,1307,10,3.3263909418357627,22064,0.04,1.0,0.04
1165,0.0015,1.0,1344,10,5.323660714285714,39096,0.26,1.0,0.26
1166,0.0015,1.0,1448,8,1.7875899507035804,15989,0.28,1.0,0.28
1167,0.0015,1.0,1585,11,2.4378532973758325,18117,0.4,1.0,0.4
1168,0.0015,,687,9,3.8684023738847255,11345,0.0,,
1169,0.0015,1.0,1276,14,8.855927123357672,61708,0.12,1.0,0.12
1170,0.0015,,378,5,0.8410178886369362,1854,0.0,,
1171,0.0015,1.0,1731,8,1.8890560917059056,19565,0.37,1.0,0.37
1172,0.0015,,1099,6,1.2141370970880137,8463,0.0,,
1173,0.0015,1.0,1221,10,3.4414910778547143,21721,0.2,1.0,0.2
1174,0.0015,,598,8,2.9717145222089245,5707,0.0,,
1175,0.0015,1.0,1320,10,5.5474632690541785,29990,0.07,1.0,0.07
1176,0.0015,1.0,1592,8,1.964773616827858,21526,0.19,1.0,0.19
1177,0.0015,1.0,1111,7,1.7982194259029864,11284,0.1,1.0,0.1
1178,0.0015,1.0,1381,11,5.176862362432956,51035,0.16,1.0,0.16
1179,0.0015,1.0,1284,12,2.7930890373734725,27723,0.38,1.0,0.38
1180,0.0015,1.0,1450,7,1.4108922711058265,11269,0.35,1.0,0.35
1181,0.0015,,467,5,0.8552838520053738,1932,0.0,,
1182,0.0015,1.0,1396,9,3.150126025237888,18570,0.33,1.0,0.33
1183,0.0015,1.0,1350,11,5.258217283950618,21721,0.28,1.0,0.28
1184,0.0015,1.0,1142,11,5.724409660134768,29807,0.26,1.0,0.26
1185,0.0015,1.0,1133,9,3.624658308982939,17490,0.29,1.0,0.29
1186,0.0015,1.0,1784,8,2.2125039589575497,24675,0.29,1.0,0.29
1187,0.0015,1.0,1359,8,2.8868627702596976,25924,0.26,1.0,0.26
1188,0.0015,1.0,1407,10,4.217306199230268,31486,0.16,1.0,0.16
1189,0.0015,1.0,1296,9,2.7995250104785856,15771,0.38,1.0,0.38
1190,0.0015,1.0,1503,9,3.021254895398823,28661,0.23,1.0,0.23
1191,0.0015,1.0,1395,9,2.56727945427217,22557,0.41,1.0,0.41
1192,0.0015,1.0,1661,8,1.9367651339056102,21211,0.4,1.0,0.4
1193,0.0015,1.0,1352,7,1.251526885438185,8823,0.14,1.0,0.14
1194,0.0015,1.0,1552,8,2.211657389201828,23972,0.18,1.0,0.18
1195,0.0015,1.0,1608,9,2.7480689679710903,24973,0.33,1.0,0.33
1196,0.0015,1.0,1199,11,5.065907717092572,23485,0.18,1.0,0.18
1197,0.0015,1.0,1356,9,4.059903651203871,32525,0.19,1.0,0.19
1198,0.0015,1.0,1389,10,2.913764998152199,21017,0.23,1.0,0.23
1199,0.0015,1.0,1526,9,2.830745453639751,26723,0.43,1.0,0.43
1200,0.001,1.0,1309,10,3.3996711956537604,23564,0.2,1.0,0.2
1201,0.001,1.0,1099,8,2.5903323477957048,17253,0.2,1.0,0.2
1202,0.001,,173,6,1.740719703297805,1226,0.0,,
1203,0.001,,659,7,2.7314664928928507,7232,0.0,,
1204,0.001,,531,6,1.6938583704838615,3842,0.0,,
1205,0.001,1.0,1084,12,6.386081174003622,29081,0.07,1.0,0.07
1206,0.001,1.0,1172,13,9.920240771587322,44404,0.41,1.0,0.41
1207,0.001,1.0,1316,12,9.05551731783705,50938,0.26,1.0,0.26
1208,0.001,,180,4,0.6272839506172839,506,0.0,,
1209,0.001,1.0,1247,10,5.7692887951130825,31136,0.24,1.0,0.24
1210,0.001,1.0,1051,10,6.358808293673462,30785,0.07,1.0,0.07
1211,0.001,1.0,1109,10,3.7664863511185223,26495,0.11,1.0,0.11
1212,0.001,1.0,1296,11,4.817205837524767,31172,0.15,1.0,0.15
1213,0.001,1.0,1085,8,2.324802820191552,12608,0.34,1.0,0.34
1214,0.001,1.0,1533,9,2.4710953500058936,22091,0.3,1.0,0.3
1215,0.001,,558,6,0.9127612697678601,2199,0.0,,
1216,0.001,1.0,900,16,18.504266666666666,48910,0.24,1.0,0.24
1217,0.001,,747,10,5.054438190065035,11538,0.0,,
1218,0.001,1.0,1306,11,2.8520628082427906,16615,0.17,1.0,0.17
1219,0.001,1.0,1122,6,1.0366872563317988,9427,0.2,1.0,0.2
1220,0.001,1.0,1096,9,5.0168221202514784,21311,0.32,1.0,0.32
1221,0.001,,668,8,2.2241273441141667,8335,0.0,,
1222,0.001,1.0,1080,10,5.90358024691358,25226,0.13,1.0,0.13
1223,0.001,1.0,775,13,8.981727367325702,26037,0.1,1.0,0.1
1224,0.001,1.0,791,18,14.68646163140642,69184,0.14,1.0,0.14
1225,0.001,1.0,1319,13,5.376920163171838,41024,0.16,1.0,0.16
1226,0.001,,833,8,2.356327885295775,9818,0.0,,
1227,0.001,1.0,1288,9,2.6347845376335792,17220,0.39,1.0,0.39
1228,0.001,1.0,917,14,11.499103924537005,35482,0.1,1.0,0.1
1229,0.001,1.0,1299,13,6.515238523623015,52055,0.22,1.0,0.22
1230,0.001,1.0,1152,8,2.696973259066358,15210,0.31,1.0,0.31
1231,0.001,1.0,856,12,10.223522523801204,38603,0.3,1.0,0.3
1232,0.001,1.0,1135,11,6.380022123464457,33903,0.37,1.0,0.37
