,pop_size_host:my_population,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
64,40,1.0,906,7,1.9229188290961894,12521,0.45,1.0,0.45
65,45,0.90625,1037,6,0.619835609916224,3596,0.4,0.8333333333333334,0.33333333333333337
66,50,1.0,1041,5,0.8206529412253237,5127,0.54,1.0,0.54
67,60,1.0,1352,6,0.9408634151465286,12754,0.4166666666666667,1.0,0.4166666666666667
68,70,,2,1,0.25,1,0.0,,
69,80,0.7741935483870968,1700,5,0.6809062283737025,6961,0.5375,0.5116279069767442,0.275
70,90,0.9147286821705426,2036,6,0.6926701977373872,9093,0.5777777777777777,0.7884615384615384,0.4555555555555555
71,100,0.7,2024,5,0.5313383664797137,7232,0.52,0.36538461538461536,0.19
72,200,0.703125,4392,6,0.516174257882356,15356,0.445,0.3595505617977528,0.16
73,300,0.738498789346247,6479,6,0.5983748747333122,26553,0.5933333333333334,0.39325842696629215,0.23333333333333336
74,400,0.7914438502673797,8490,5,0.6187883895832553,34885,0.54,0.4583333333333333,0.2475
75,500,0.7113970588235294,10263,6,0.5786885302398996,40414,0.476,0.3403361344537815,0.162
76,5,,7,1,0.12244897959183675,6,0.0,,
77,10,,22,3,0.5206611570247934,64,0.0,,
78,15,,7,2,0.4081632653061224,12,0.0,,
79,20,,135,4,0.6862002743484227,605,0.0,,
80,25,1.0,513,5,0.7817790089258234,1980,0.2,1.0,0.2
81,30,,356,5,0.8525123090518874,2860,0.0,,
82,35,1.0,774,7,1.5421081799304264,4694,0.4857142857142857,1.0,0.4857142857142857
83,40,1.0,887,6,1.2422706029342792,6188,0.5,1.0,0.5
84,45,1.0,959,6,1.1507685817147468,7035,0.6,1.0,0.6
85,50,0.803030303030303,1125,4,0.545664,3779,0.54,0.5185185185185185,0.28
86,60,0.4583333333333333,1266,5,0.6029869799270757,4217,0.4666666666666667,0.07142857142857142,0.03333333333333333
87,70,0.7666666666666667,1512,5,0.5749554708714762,5955,0.4714285714285714,0.36363636363636365,0.17142857142857143
88,80,0.6956521739130435,1721,6,0.6299217277362288,6532,0.4625,0.24324324324324326,0.11250000000000002
89,90,0.7155963302752294,1895,7,0.5888831183297248,6266,0.5333333333333333,0.3541666666666667,0.18888888888888888
90,100,0.7346938775510204,2240,5,0.5177774234693879,8090,0.46,0.43478260869565216,0.2
91,200,0.5280898876404494,4264,6,0.5898151085575295,15535,0.505,0.16831683168316833,0.085
92,300,0.7409470752089137,6601,6,0.5399798835068371,25093,0.5,0.38,0.19
93,400,0.7020316027088036,8448,6,0.6272244904433183,34065,0.4825,0.3160621761658031,0.1525
94,500,0.7530864197530864,10700,6,0.5326890645471221,40429,0.502,0.36254980079681276,0.182
95,5,,7,1,0.12244897959183675,6,0.0,,
96,10,,16,4,0.9375,64,0.0,,
97,15,,126,8,4.478772990677752,2251,0.0,,
98,20,,256,8,2.7585296630859375,5407,0.0,,
99,25,,191,4,0.574655300019188,600,0.0,,
100,30,1.0,679,10,1.8576655872254313,30939,0.5333333333333333,1.0,0.5333333333333333
101,35,1.0,728,8,3.288308703658978,12699,0.2571428571428571,1.0,0.2571428571428571
102,40,,805,7,1.3478584931136917,7554,0.0,,
103,45,1.0,930,5,0.7421493814313793,4927,0.5111111111111111,1.0,0.5111111111111111
104,50,0.72,1049,5,0.5513608221003071,3538,0.54,0.2222222222222222,0.12
105,60,1.0,1355,5,0.9853787393962502,7911,0.5,1.0,0.5
106,70,1.0,1542,6,0.8786982223635316,7843,0.4142857142857143,1.0,0.4142857142857143
107,80,0.7345132743362832,1864,5,0.6275554785499826,6805,0.5125,0.2682926829268293,0.13749999999999998
108,90,0.9767441860465116,1953,5,0.6708012067508622,7604,0.5,0.9333333333333333,0.4666666666666667
109,100,0.6698113207547169,2311,6,0.6656917670853804,8998,0.45,0.2222222222222222,0.09999999999999999
110,200,0.7647058823529411,4279,6,0.5750021532136733,15578,0.55,0.41818181818181815,0.23
111,300,0.7357357357357357,6367,6,0.5837652520040794,23306,0.49333333333333335,0.40540540540540543,0.2
112,400,0.7727272727272727,8458,5,0.5525250272010179,32303,0.4925,0.49238578680203043,0.2425
113,500,0.7872340425531915,10290,5,0.5219960409542131,38621,0.544,0.5220588235294118,0.28400000000000003
114,5,,6,1,0.13888888888888892,5,0.0,,
115,10,,39,3,0.5535831689677844,117,0.0,,
116,15,,49,8,3.3227821740941272,1418,0.0,,
117,20,,207,5,1.1102709514807816,1385,0.0,,
118,25,1.0,558,8,2.629722768206986,7515,0.56,1.0,0.56
119,30,1.0,720,5,0.6142283950617285,2966,0.43333333333333335,1.0,0.43333333333333335
120,35,1.0,844,6,1.4144280227308463,7192,0.2857142857142857,1.0,0.2857142857142857
121,40,1.0,837,7,1.2635243637671663,11703,0.525,1.0,0.525
122,45,1.0,1065,5,0.7070784015517202,4611,0.6444444444444445,1.0,0.6444444444444445
123,50,,2,1,0.25,1,0.0,,
124,60,0.7380952380952381,1319,5,0.543368888025424,4179,0.36666666666666664,0.5,0.18333333333333332
125,70,0.6909090909090909,1518,5,0.5851086913125063,5362,0.4142857142857143,0.41379310344827586,0.17142857142857143
126,80,0.7586206896551724,1744,5,0.5247266512709368,5681,0.45,0.4166666666666667,0.1875
127,90,0.6486486486486487,2075,6,0.6037390622731891,7153,0.6222222222222222,0.30357142857142855,0.18888888888888888
128,100,1.0,2099,6,0.595636525571627,17795,0.36,1.0,0.36
129,200,0.7288135593220338,4341,5,0.5481850965818224,15490,0.41,0.4146341463414634,0.16999999999999998
130,300,0.8285714285714286,6390,6,0.5820617602327581,24036,0.5266666666666666,0.5822784810126582,0.30666666666666664
131,400,0.7921146953405018,8220,6,0.5512750930908532,30506,0.5075,0.42857142857142855,0.21749999999999997
132,500,0.7103825136612022,10148,5,0.5468702443101072,38901,0.486,0.345679012345679,0.16799999999999998
133,5,,4,1,0.1875,3,0.0,,
134,10,,70,6,2.253877551020408,1310,0.0,,
135,15,,11,2,0.18181818181818182,13,0.0,,
136,20,,170,5,0.9673356401384082,1050,0.0,,
137,25,,186,4,0.5159266967279454,545,0.0,,
138,30,1.0,633,7,2.356480961543741,8545,0.5333333333333333,1.0,0.5333333333333333
139,35,1.0,788,6,1.3005295163493005,5890,0.37142857142857144,1.0,0.37142857142857144
140,40,,7,2,0.4081632653061225,12,0.0,,
141,45,1.0,959,5,0.7693819922342637,5018,0.3333333333333333,1.0,0.3333333333333333
142,50,1.0,1116,6,0.685097667039221,5853,0.48,1.0,0.48
143,60,1.0,1195,5,0.5542718089669298,7866,0.4,1.0,0.4
144,70,0.8582677165354331,1607,4,0.5131748971615703,5351,0.6571428571428571,0.6086956521739131,0.4
145,80,1.0,1894,6,0.7949488129579431,16097,0.5625,1.0,0.5625
146,90,1.0,1992,5,0.5682569635973613,15340,0.3111111111111111,1.0,0.3111111111111111
147,100,0.673469387755102,2262,5,0.5330644461486865,7961,0.4,0.2,0.08000000000000002
148,200,0.8413793103448276,4350,6,0.5526555687673405,15595,0.495,0.5353535353535354,0.265
149,300,0.7794117647058824,6522,6,0.5740726713566642,25097,0.47333333333333333,0.47183098591549294,0.22333333333333333
150,400,0.7092337917485265,8420,5,0.5574593914500595,33286,0.5025,0.263681592039801,0.1325
151,500,0.7676282051282052,10632,6,0.5265492860260857,40336,0.526,0.44866920152091255,0.23600000000000002
152,5,,2,1,0.25,1,0.0,,
153,10,,18,2,0.34876543209876537,41,0.0,,
154,15,,12,3,0.5208333333333334,25,0.0,,
155,20,1.0,457,8,2.5003040474218223,7998,0.35,1.0,0.35
156,25,1.0,501,7,1.2658754347592243,8412,0.48,1.0,0.48
157,30,1.0,663,8,2.864292067911977,9726,0.06666666666666667,1.0,0.06666666666666667
158,35,1.0,777,7,1.1224373849856475,8372,0.34285714285714286,1.0,0.34285714285714286
159,40,1.0,846,8,1.5831321362104522,9899,0.425,1.0,0.425
160,45,1.0,919,9,3.696692127626068,18634,0.4888888888888889,1.0,0.4888888888888889
161,50,1.0,1144,8,1.3591495916670744,20148,0.56,1.0,0.56
162,60,0.7297297297297297,1350,4,0.49925925925925924,4424,0.2833333333333333,0.4117647058823529,0.11666666666666665
163,70,1.0,1531,6,0.6991933739511879,14098,0.4857142857142857,1.0,0.4857142857142857
164,80,0.9883720930232558,1684,4,0.48239226533364177,5879,0.5,0.975,0.4875
165,90,0.7159090909090909,2005,4,0.5416672781885685,7308,0.4444444444444444,0.375,0.16666666666666666
166,100,0.7538461538461538,2187,5,0.48376771833561955,7133,0.52,0.38461538461538464,0.2
167,200,0.7766497461928934,4310,5,0.5543835896662915,16021,0.445,0.5056179775280899,0.225
168,300,0.7142857142857143,6541,7,0.5845023362450686,24830,0.47,0.3475177304964539,0.16333333333333333
169,400,0.8240165631469979,8546,5,0.545837140001804,32999,0.475,0.5526315789473685,0.2625
170,500,0.7967359050445104,10668,6,0.5671942863160102,42548,0.498,0.4497991967871486,0.224
171,5,,8,1,0.109375,7,0.0,,
172,10,,15,3,0.42666666666666675,28,0.0,,
173,15,,70,5,1.3926530612244898,402,0.0,,
174,20,,302,8,3.382581904302443,8783,0.0,,
175,25,1.0,611,11,5.203425470305716,22412,0.4,1.0,0.4
176,30,1.0,664,12,5.825425950791117,32589,0.36666666666666664,1.0,0.36666666666666664
177,35,1.0,729,6,1.4793965840046215,8829,0.17142857142857143,1.0,0.17142857142857143
178,40,1.0,823,8,1.2900230168795372,8565,0.325,1.0,0.325
179,45,1.0,1110,8,1.668735492249006,15987,0.4222222222222222,1.0,0.4222222222222222
180,50,0.7,1157,5,0.5318317198907256,3956,0.4,0.25,0.1
181,60,1.0,1397,5,0.683489366978734,6765,0.26666666666666666,1.0,0.26666666666666666
182,70,0.7666666666666667,1555,5,0.5998986776398094,5569,0.4,0.5,0.2
183,80,0.7468354430379747,1760,5,0.6158626033057851,6432,0.475,0.47368421052631576,0.22499999999999998
184,90,0.6923076923076923,2042,5,0.5507105438101533,7127,0.45555555555555555,0.21951219512195122,0.09999999999999999
185,100,0.7051282051282052,2124,7,0.6073206932873695,7412,0.39,0.41025641025641024,0.16
186,200,0.757847533632287,4307,5,0.523244836228344,15078,0.435,0.3793103448275862,0.16499999999999998
187,300,1.0,6634,7,0.5577352542683751,51160,0.49666666666666665,1.0,0.49666666666666665
188,400,0.7151277013752456,8104,6,0.5218053142318663,29328,0.535,0.32242990654205606,0.1725
189,500,0.7753378378378378,10325,6,0.5299157525693414,38637,0.498,0.46586345381526106,0.232
190,5,,4,2,0.5,6,0.0,,
191,10,,13,2,0.2840236686390533,21,0.0,,
192,15,,85,5,0.9306574394463671,628,0.0,,
193,20,,133,4,0.4280626377975013,376,0.0,,
194,25,,232,4,0.6455856123662305,1236,0.0,,
195,30,,570,6,1.8240227762388426,6505,0.0,,
196,35,1.0,804,6,1.4214546050840327,7535,0.4857142857142857,1.0,0.4857142857142857
197,40,1.0,826,8,1.817364233829125,9660,0.35,1.0,0.35
198,45,1.0,1045,6,0.7329905450882535,5529,0.5777777777777777,1.0,0.5777777777777777
199,50,1.0,1062,6,0.7888050120406723,9239,0.26,1.0,0.26
200,60,0.72,1471,5,0.5316693786650682,5367,0.6666666666666666,0.3,0.19999999999999998
201,70,1.0,1531,6,0.6975559746941181,7160,0.5571428571428572,1.0,0.5571428571428572
202,80,1.0,1863,6,0.6193382503992632,9360,0.475,1.0,0.475
203,90,0.7946428571428571,1972,5,0.578964272636382,7209,0.5,0.4888888888888889,0.24444444444444444
204,100,,2,1,0.25,1,0.0,,
205,200,,2,1,0.25,1,0.0,,
206,300,0.792332268370607,6818,6,0.5922111340393542,26648,0.43666666666666665,0.5038167938931297,0.21999999999999997
207,400,0.7586206896551724,8526,7,0.587075773630895,32293,0.46,0.42934782608695654,0.1975
208,500,0.8027444253859348,10370,6,0.5515033816299335,40370,0.47,0.5106382978723404,0.23999999999999996
209,5,,7,2,0.2857142857142857,9,0.0,,
210,10,,10,1,0.09000000000000001,9,0.0,,
211,15,,57,3,0.4659895352416128,275,0.0,,
212,20,,29,2,0.26872770511296074,55,0.0,,
213,25,1.0,507,7,2.5494983446735833,6886,0.56,1.0,0.56
214,30,1.0,521,9,3.6910930920531535,16270,0.6666666666666666,1.0,0.6666666666666666
215,35,,3,1,0.22222222222222224,2,0.0,,
216,40,1.0,946,8,2.1237970938054525,10936,0.475,1.0,0.475
217,45,1.0,971,6,0.7183798752918041,6174,0.4222222222222222,1.0,0.4222222222222222
218,50,1.0,1019,6,0.6435661585903169,4165,0.5,1.0,0.5
219,60,1.0,1351,6,0.689890044986826,8179,0.43333333333333335,1.0,0.43333333333333335
220,70,0.7377049180327869,1535,5,0.6033422105274326,5381,0.35714285714285715,0.36,0.12857142857142856
221,80,0.7560975609756098,1756,6,0.5719988351035954,6709,0.475,0.47368421052631576,0.22499999999999998
222,90,0.7603305785123967,2063,6,0.5473343438356811,7913,0.5555555555555556,0.42,0.23333333333333334
223,100,1.0,2292,6,0.6807371569370967,13168,0.41,1.0,0.41
224,200,0.72,4507,5,0.5283737561997709,16454,0.565,0.3805309734513274,0.21499999999999997
225,300,0.6964285714285714,6273,5,0.5255698087311609,23283,0.5133333333333333,0.33766233766233766,0.17333333333333334
226,400,0.7869822485207101,7867,5,0.5462272722036139,28431,0.52,0.4807692307692308,0.25
227,500,0.7779527559055118,10328,6,0.5422793020230027,39441,0.5,0.436,0.218
228,5,,8,3,0.734375,27,0.0,,
