,contact_rate_host_host,mutant_frac,infected_hosts,Alive
127,0.004857142857142858,0.0,0.0,False
128,0.005285714285714286,1.0,0.018,True
129,0.005714285714285714,0.08849557522123894,0.113,True
130,0.006142857142857143,0.087248322147651,0.149,True
131,0.006571428571428572,0.046875,0.192,True
132,0.007,0.06687898089171974,0.314,True
133,0.0074285714285714285,0.08405797101449275,0.345,True
134,0.007857142857142858,0.021212121212121213,0.33,True
135,0.008285714285714285,0.06053268765133172,0.413,True
136,0.008714285714285714,0.06334841628959276,0.442,True
137,0.009142857142857144,0.02231237322515213,0.493,True
138,0.009571428571428571,0.037694013303769404,0.451,True
139,0.01,0.022774327122153208,0.483,True
140,0.01,0.01593625498007968,0.502,True
141,0.011111111111111112,0.037996545768566495,0.579,True
142,0.012222222222222223,0.01155115511551155,0.606,True
143,0.013333333333333332,0.03161397670549085,0.601,True
144,0.014444444444444444,0.013846153846153847,0.65,True
145,0.015555555555555555,0.0074962518740629685,0.667,True
146,0.016666666666666666,0.011347517730496455,0.705,True
147,0.017777777777777778,0.021216407355021217,0.707,True
148,0.01888888888888889,0.009575923392612859,0.731,True
149,0.02,0.01646090534979424,0.729,True
150,0.004,0.0,0.0,False
151,0.004428571428571428,0.0,0.0,False
152,0.004857142857142858,0.0,0.0,False
153,0.005285714285714286,0.04285714285714286,0.07,True
154,0.005714285714285714,0.0847457627118644,0.118,True
155,0.006142857142857143,0.06741573033707865,0.178,True
156,0.006571428571428572,0.11155378486055777,0.251,True
157,0.007,0.1003584229390681,0.279,True
158,0.0074285714285714285,0.040625,0.32,True
159,0.007857142857142858,0.029315960912052116,0.307,True
160,0.008285714285714285,0.06084656084656084,0.378,True
161,0.008714285714285714,0.03296703296703297,0.455,True
162,0.009142857142857144,0.06153846153846154,0.455,True
163,0.009571428571428571,0.0481651376146789,0.436,True
164,0.01,0.04371584699453552,0.549,True
165,0.01,0.032520325203252036,0.492,True
166,0.011111111111111112,0.028037383177570093,0.535,True
167,0.012222222222222223,0.024054982817869417,0.582,True
168,0.013333333333333332,0.014947683109118086,0.669,True
169,0.014444444444444444,0.018032786885245903,0.61,True
170,0.015555555555555555,0.01804511278195489,0.665,True
171,0.016666666666666666,0.015988372093023256,0.688,True
172,0.017777777777777778,0.01813110181311018,0.717,True
173,0.01888888888888889,0.012362637362637362,0.728,True
174,0.02,0.01783264746227709,0.729,True
175,0.004,0.0,0.0,False
176,0.004428571428571428,0.0,0.0,False
177,0.004857142857142858,0.0,0.0,False
178,0.005285714285714286,0.16666666666666666,0.042,True
179,0.005714285714285714,0.12269938650306748,0.163,True
180,0.006142857142857143,0.09433962264150944,0.159,True
181,0.006571428571428572,0.046610169491525424,0.236,True
182,0.007,0.08571428571428572,0.315,True
183,0.0074285714285714285,0.0859106529209622,0.291,True
184,0.007857142857142858,0.041791044776119404,0.335,True
185,0.008285714285714285,0.06887755102040816,0.392,True
186,0.008714285714285714,0.05867970660146699,0.409,True
187,0.009142857142857144,0.041189931350114416,0.437,True
188,0.009571428571428571,0.03361344537815126,0.476,True
189,0.01,0.02404809619238477,0.499,True
