,recombine_in_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
55,0.4444444444444444,0.7292035398230089,11191,6,0.5483787047848337,43051,0.48,0.3625,0.174
56,0.33333333333333337,0.7963246554364471,10917,6,0.5641870484788882,42310,0.5,0.468,0.234
57,0.22222222222222232,0.7411971830985915,10773,6,0.5214115837327538,40668,0.478,0.38493723849372385,0.184
58,0.11111111111111116,0.73224043715847,10828,6,0.5681929990642547,43138,0.508,0.421259842519685,0.214
59,0.0,0.8064,10535,5,0.5139089107679804,38981,0.52,0.5346153846153846,0.278
60,1.0,0.7424812030075187,11866,5,0.5355007142088282,46302,0.436,0.37155963302752293,0.162
61,0.8888888888888888,0.7594553706505295,11655,6,0.5263931333429404,44461,0.536,0.40671641791044777,0.21800000000000003
62,0.7777777777777778,0.762043795620438,11876,6,0.5398037141060522,47043,0.482,0.3236514522821577,0.156
63,0.6666666666666667,0.7068965517241379,11255,6,0.5439503169626374,42664,0.496,0.31451612903225806,0.156
64,0.5555555555555556,0.7543859649122807,11302,6,0.5747739205865282,45182,0.482,0.36099585062240663,0.174
65,0.4444444444444444,0.8309037900874635,11461,6,0.5493006061055181,44339,0.504,0.5396825396825397,0.27199999999999996
66,0.33333333333333337,0.7416918429003021,10932,6,0.528300083180608,40988,0.518,0.33976833976833976,0.176
67,0.22222222222222232,0.6923076923076923,11152,6,0.6090198819777938,45665,0.5,0.312,0.156
68,0.11111111111111116,0.7917414721723519,10747,6,0.5690081635952703,42333,0.502,0.5378486055776892,0.26999999999999996
69,0.0,0.7803660565723793,10616,6,0.5590395662601956,41281,0.512,0.484375,0.248
70,1.0,0.7696476964769647,12425,7,0.5587006141476626,49814,0.534,0.36329588014981273,0.194
71,0.8888888888888888,0.7620528771384136,12396,7,0.6171606169265691,52680,0.504,0.39285714285714285,0.198
72,0.7777777777777778,0.7447154471544716,11418,5,0.5106395896060224,42899,0.51,0.3843137254901961,0.196
73,0.6666666666666667,0.7399030694668821,11491,6,0.55774490751242,44375,0.5,0.356,0.178
