,mutate_in_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
44,0.030000000000000002,0.7211948790896159,6358,5,0.4327816649467383,19157,0.562,0.302491103202847,0.17000000000000004
45,0.025,0.577922077922078,5248,4,0.3709181604606633,14160,0.518,0.2471042471042471,0.128
46,0.020000000000000004,0.6728778467908902,4396,4,0.3604821386138941,11781,0.486,0.3497942386831276,0.17
47,0.015,0.4709976798143852,3263,5,0.32044555693630855,7969,0.522,0.12643678160919541,0.066
48,0.010000000000000002,0.48148148148148145,2114,3,0.2766070947479032,4454,0.588,0.14285714285714285,0.08399999999999999
49,0.0050000000000000044,0.3415384615384615,1127,3,0.2276902582336125,2148,0.468,0.08547008547008547,0.04
50,0.05,0.700381679389313,10493,5,0.5279955326214444,38763,0.496,0.36693548387096775,0.182
51,0.045000000000000005,0.7191201353637902,9146,5,0.485512637066871,32096,0.512,0.3515625,0.18
52,0.04,0.6756152125279642,8322,6,0.46547041539579626,28494,0.456,0.36403508771929827,0.166
53,0.035,0.7218543046357616,7409,5,0.43494751206436355,23513,0.51,0.3411764705882353,0.17400000000000002
54,0.030000000000000002,0.6442105263157895,6419,5,0.4196853762227008,19199,0.474,0.2869198312236287,0.13599999999999998
55,0.025,0.5522388059701493,5326,5,0.43079394700946994,16020,0.45,0.2,0.09000000000000001
56,0.020000000000000004,0.621832358674464,4330,5,0.3668284005995018,11403,0.522,0.2567049808429119,0.134
57,0.015,0.4745762711864407,3226,4,0.31908905056521153,7600,0.534,0.18726591760299627,0.10000000000000002
58,0.010000000000000002,0.5304568527918782,2193,4,0.26840697996714247,4565,0.482,0.23236514522821577,0.112
59,0.0050000000000000044,0.3128834355828221,1148,3,0.22075356019861841,2146,0.48,0.06666666666666667,0.032
60,0.05,0.7124277456647399,10146,5,0.539560549235644,37277,0.542,0.2656826568265683,0.14400000000000002
61,0.045000000000000005,0.660482374768089,9555,8,0.5472475883240628,35596,0.482,0.24066390041493776,0.11599999999999999
62,0.04,0.6144578313253012,8411,5,0.47847912643792484,28432,0.436,0.26605504587155965,0.116
63,0.035,0.6866791744840526,7510,5,0.4484389921294466,24220,0.504,0.3373015873015873,0.17
64,0.030000000000000002,0.6938775510204082,6370,6,0.4472183927308395,19672,0.544,0.3382352941176471,0.18400000000000002
65,0.025,0.6163793103448276,5399,5,0.3807390809785832,14656,0.5,0.288,0.144
66,0.020000000000000004,0.5439429928741093,4332,4,0.34396408142629015,10901,0.466,0.1759656652360515,0.082
67,0.015,0.5909090909090909,3293,4,0.3166718754567681,7906,0.472,0.3135593220338983,0.148
68,0.010000000000000002,0.5170842824601367,2211,4,0.29054677273555746,4803,0.51,0.16862745098039217,0.08600000000000001
69,0.0050000000000000044,0.3949367088607595,1068,3,0.21178845965015647,1915,0.544,0.1213235294117647,0.066
70,0.05,0.7244258872651357,10602,5,0.5629719805636898,41190,0.432,0.3888888888888889,0.168
71,0.045000000000000005,0.7043189368770764,9576,6,0.51013860709976,34746,0.494,0.2793522267206478,0.138
72,0.04,0.6791569086651054,8482,5,0.4826442875465757,28803,0.414,0.33816425120772947,0.13999999999999999
73,0.035,0.6572934973637962,7373,5,0.44958289957517256,23350,0.522,0.25287356321839083,0.132
74,0.030000000000000002,0.6765285996055227,6174,5,0.4324034224422952,18203,0.48,0.31666666666666665,0.152
75,0.025,0.6342042755344418,5401,4,0.38210051208398427,15378,0.46,0.33043478260869563,0.152
76,0.020000000000000004,0.5641025641025641,4350,4,0.3673959043466773,11615,0.484,0.15702479338842976,0.076
77,0.015,0.6328871892925431,3262,4,0.34302181334137294,8097,0.524,0.26717557251908397,0.14
78,0.010000000000000002,0.43380281690140843,2210,4,0.28976495157756804,4869,0.474,0.1518987341772152,0.072
79,0.0050000000000000044,0.4743202416918429,1091,3,0.22111249360445137,2002,0.422,0.17535545023696683,0.074
80,0.05,0.7876386687797148,10660,7,0.5865723329660776,41337,0.524,0.48854961832061067,0.256
81,0.045000000000000005,0.6563106796116505,9420,6,0.5098417785711388,33306,0.464,0.23706896551724138,0.11
