,mutate_in_host,mutate_in_vector,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
1317,0.012368421052631579,0.00605263157894737,0.37681159420289856,858,4,0.3589689254024918,1770,0.204,0.1568627450980392,0.032
1318,0.012368421052631579,0.0055263157894736865,0.19230769230769232,760,5,0.47381578947368425,1958,0.272,0.07352941176470588,0.02
1319,0.012368421052631579,0.005,0.1917808219178082,785,3,0.25804535680960683,1479,0.264,0.10606060606060606,0.028
1320,0.011842105263157895,0.015,1.0,1133,5,0.6189053579176887,4207,0.192,1.0,0.192
1321,0.011842105263157895,0.014473684210526316,1.0,1182,5,0.49333416361038823,5875,0.18,1.0,0.18
1322,0.011842105263157895,0.013947368421052632,0.6976744186046512,1086,4,0.36364037185135434,3000,0.14,0.6285714285714286,0.08800000000000001
1323,0.011842105263157895,0.013421052631578948,0.8333333333333334,1103,5,0.47167989058111526,2882,0.184,0.8043478260869565,0.148
1324,0.011842105263157895,0.012894736842105263,0.5277777777777778,1083,5,0.31732073538075645,2261,0.212,0.3584905660377358,0.076
1325,0.011842105263157895,0.012368421052631579,1.0,1030,6,0.6598887736827221,4728,0.24,1.0,0.24
1326,0.011842105263157895,0.011842105263157895,0.8170731707317073,1001,5,0.713843598958484,4268,0.244,0.7540983606557377,0.184
1327,0.011842105263157895,0.011315789473684211,0.8452380952380952,931,4,0.39178043312977856,2464,0.256,0.796875,0.20400000000000001
1328,0.011842105263157895,0.010789473684210526,0.3611111111111111,909,4,0.38787289069941094,2113,0.224,0.17857142857142858,0.04
1329,0.011842105263157895,0.010263157894736842,0.6867469879518072,1015,5,0.35096799242883836,2200,0.236,0.559322033898305,0.13199999999999998
1330,0.011842105263157895,0.009736842105263158,0.8507462686567164,1020,5,0.5441522491349481,3090,0.192,0.7916666666666666,0.152
1331,0.011842105263157895,0.009210526315789475,1.0,880,5,0.6949883780991736,3165,0.172,1.0,0.172
1332,0.011842105263157895,0.00868421052631579,0.6582278481012658,845,4,0.47994678057490986,2942,0.208,0.4807692307692308,0.09999999999999999
1333,0.011842105263157895,0.008157894736842107,0.47058823529411764,935,4,0.2968503531699506,1893,0.156,0.3076923076923077,0.048
1334,0.011842105263157895,0.007631578947368422,0.5301204819277109,762,4,0.31024862049724095,1554,0.244,0.36065573770491804,0.088
1335,0.011842105263157895,0.007105263157894738,0.524390243902439,862,5,0.4964174396132665,2258,0.252,0.38095238095238093,0.096
1336,0.011842105263157895,0.006578947368421054,0.24528301886792453,758,3,0.2913948663682374,1475,0.172,0.06976744186046512,0.011999999999999999
1337,0.011842105263157895,0.00605263157894737,0.4067796610169492,821,4,0.3895935113739373,1826,0.2,0.3,0.06
1338,0.011842105263157895,0.0055263157894736865,0.3382352941176471,877,5,0.5549290171089635,2393,0.204,0.11764705882352941,0.023999999999999997
1339,0.011842105263157895,0.005,0.675,811,6,0.5960125950060892,2410,0.232,0.5517241379310345,0.128
1340,0.011315789473684211,0.015,0.5208333333333334,1149,4,0.46054502306845696,3324,0.148,0.3783783783783784,0.056
1341,0.011315789473684211,0.014473684210526316,0.425531914893617,1183,6,0.724968899362553,4589,0.16,0.325,0.052000000000000005
1342,0.011315789473684211,0.013947368421052632,0.5272727272727272,1224,4,0.44384371395617067,3208,0.172,0.3953488372093023,0.06799999999999999
1343,0.011315789473684211,0.013421052631578948,0.6829268292682927,1039,5,0.6893223939135968,3501,0.112,0.5357142857142857,0.06
1344,0.011315789473684211,0.012894736842105263,0.33783783783783783,1105,5,0.6420474601257141,3717,0.236,0.1694915254237288,0.039999999999999994
1345,0.011315789473684211,0.012368421052631579,0.4634146341463415,1126,4,0.38788099151652056,2651,0.136,0.35294117647058826,0.04800000000000001
1346,0.011315789473684211,0.011842105263157895,1.0,946,5,0.6370832569760738,3572,0.188,1.0,0.188
1347,0.011315789473684211,0.011315789473684211,0.7023809523809523,1045,7,0.5050214051876102,2701,0.252,0.6031746031746031,0.152
1348,0.011315789473684211,0.010789473684210526,0.55,994,4,0.22497257184960875,1773,0.184,0.41304347826086957,0.076
1349,0.011315789473684211,0.010263157894736842,0.2857142857142857,977,3,0.26423712637332136,1943,0.188,0.14893617021276595,0.027999999999999997
1350,0.011315789473684211,0.009736842105263158,0.36065573770491804,1026,4,0.32977288358431267,2508,0.2,0.22,0.044000000000000004
1351,0.011315789473684211,0.009210526315789475,0.7142857142857143,872,4,0.49984086987627313,2365,0.156,0.6410256410256411,0.1
1352,0.011315789473684211,0.00868421052631579,0.6172839506172839,881,4,0.5265428177916696,2798,0.252,0.5079365079365079,0.128
1353,0.011315789473684211,0.008157894736842107,1.0,884,5,0.6877009070248357,4112,0.232,1.0,0.232
1354,0.011315789473684211,0.007631578947368422,0.39705882352941174,749,4,0.7439451979586489,2630,0.228,0.2807017543859649,0.064
1355,0.011315789473684211,0.007105263157894738,0.4666666666666667,903,3,0.3225154493021294,1994,0.18,0.28888888888888886,0.05199999999999999
1356,0.011315789473684211,0.006578947368421054,0.746031746031746,665,4,0.29328056984566686,1328,0.216,0.7037037037037037,0.152
1357,0.011315789473684211,0.00605263157894737,0.8367346938775511,715,3,0.31216000782434355,1619,0.168,0.8095238095238095,0.136
1358,0.011315789473684211,0.0055263157894736865,0.43636363636363634,789,4,0.2492927949418574,1454,0.168,0.2619047619047619,0.044000000000000004
1359,0.011315789473684211,0.005,0.4090909090909091,703,4,0.31870322070217255,1402,0.132,0.21212121212121213,0.028
1360,0.010789473684210526,0.015,1.0,1053,6,0.9278983125136971,5482,0.192,1.0,0.192
1361,0.010789473684210526,0.014473684210526316,0.36363636363636365,1053,4,0.34976988823142663,2313,0.144,0.2222222222222222,0.031999999999999994
1362,0.010789473684210526,0.013947368421052632,0.543859649122807,1145,4,0.3401201350088671,2875,0.18,0.4222222222222222,0.076
1363,0.010789473684210526,0.013421052631578948,0.17307692307692307,1146,4,0.2649941065212028,2151,0.184,0.06521739130434782,0.012
1364,0.010789473684210526,0.012894736842105263,0.5862068965517241,1050,4,0.4059174603174603,2644,0.168,0.42857142857142855,0.072
1365,0.010789473684210526,0.012368421052631579,1.0,1018,4,0.4939275747739123,3883,0.168,1.0,0.168
