,recombine_in_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
103,0.6666666666666667,0.917684127609295,19244,4,0.25976841194534395,81189,0.454,0.07929515418502203,0.036000000000000004
104,0.5555555555555556,0.9222296395193591,16644,4,0.24692842178845567,66649,0.544,0.14338235294117646,0.078
105,0.4444444444444444,0.9315970234688037,16139,4,0.2323145789179442,64104,0.57,0.16140350877192983,0.092
106,0.33333333333333337,0.9246293245469522,14869,4,0.2319078673229695,58544,0.446,0.17937219730941703,0.08
107,0.22222222222222232,0.9248681898066784,13832,4,0.22608608097634306,53530,0.476,0.2815126050420168,0.13399999999999998
108,0.11111111111111116,0.9269311064718163,12826,4,0.22606943579465624,48677,0.446,0.21524663677130046,0.096
109,0.0,0.9335161069225497,11321,4,0.20817993574394447,42274,0.516,0.24806201550387597,0.128
110,1.0,0.9314456035767511,20635,4,0.2579809253440953,86946,0.538,0.1449814126394052,0.078
111,0.8888888888888888,0.928736295441431,20906,5,0.2733475506370925,89703,0.544,0.09191176470588236,0.05000000000000001
112,0.7777777777777778,0.9227086183310533,18949,5,0.26720733186393947,79442,0.516,0.12403100775193798,0.064
113,0.6666666666666667,0.9269390581717452,18784,4,0.2450306777044293,77409,0.504,0.1626984126984127,0.082
114,0.5555555555555556,0.9213294068153134,16825,4,0.2381295081569076,67891,0.466,0.19742489270386265,0.092
115,0.4444444444444444,0.9184615384615384,16328,4,0.23062591686689402,65232,0.478,0.11297071129707113,0.054
116,0.33333333333333337,0.9199864956110736,15216,4,0.22871031748499834,59535,0.542,0.12546125461254612,0.068
117,0.22222222222222232,0.9133858267716536,14302,4,0.22264463218964364,55383,0.508,0.17716535433070865,0.09
118,0.11111111111111116,0.9215533980582524,12327,4,0.2216510660210305,46739,0.48,0.15833333333333333,0.076
119,0.0,0.9316330145235565,11294,4,0.21068464447602595,42283,0.544,0.29044117647058826,0.15800000000000003
120,1.0,0.9280936454849499,21363,5,0.2876403254427583,93273,0.496,0.13306451612903225,0.06599999999999999
121,0.8888888888888888,0.9248572287345957,20172,4,0.2678960837648886,86084,0.564,0.11347517730496454,0.06399999999999999
122,0.7777777777777778,0.9233333333333333,18545,4,0.2613633506512218,77230,0.504,0.0873015873015873,0.044
123,0.6666666666666667,0.9264367816091954,17502,5,0.2394422925118531,70840,0.456,0.15789473684210525,0.072
124,0.5555555555555556,0.9301505927587311,16486,4,0.25845997005697774,67243,0.51,0.1450980392156863,0.07400000000000001
125,0.4444444444444444,0.9281292984869326,15829,4,0.23791023465172975,62712,0.516,0.18992248062015504,0.098
126,0.33333333333333337,0.9276165634170199,14807,4,0.2383844551682379,58151,0.546,0.18681318681318682,0.10200000000000001
127,0.22222222222222232,0.9236889692585896,13897,4,0.2352425915581628,54360,0.508,0.16929133858267717,0.08600000000000001
128,0.11111111111111116,0.917167381974249,12668,4,0.222963303731477,47987,0.478,0.19246861924686193,0.092
129,0.0,0.928598848368522,11210,4,0.21369671210791308,41343,0.484,0.23140495867768596,0.112
130,1.0,0.9302642331789703,20784,5,0.27054867774464997,89312,0.558,0.08243727598566308,0.046000000000000006
131,0.8888888888888888,0.9245349245349246,19123,4,0.2630189315799978,80895,0.496,0.13306451612903225,0.06599999999999999
132,0.7777777777777778,0.9330018319811567,19506,5,0.26863529170511635,83264,0.576,0.1111111111111111,0.06399999999999999
133,0.6666666666666667,0.919425608296769,17931,4,0.25096949182699896,73978,0.458,0.11790393013100436,0.054
134,0.5555555555555556,0.9346811819595645,16840,4,0.23875118835371045,68457,0.482,0.12863070539419086,0.06199999999999999
135,0.4444444444444444,0.9253680246490927,15994,4,0.24324818318060973,64574,0.504,0.1349206349206349,0.06799999999999999
136,0.33333333333333337,0.9149548069022185,15313,4,0.22763857023299985,60494,0.484,0.1446280991735537,0.06999999999999999
137,0.22222222222222232,0.9259638348686455,13621,4,0.22158657023898148,52984,0.512,0.15234375,0.078
138,0.11111111111111116,0.9240506329113924,13060,4,0.21388739449683286,50016,0.52,0.2153846153846154,0.11200000000000002
139,0.0,0.9150456530369194,11285,4,0.20738735728690477,42351,0.522,0.18007662835249041,0.094
