,mutate_in_host,mutate_in_vector,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
988,0.010263157894736842,0.010789473684210526,1.0,890,7,2.0831208180785254,10726,0.208,1.0,0.208
989,0.010263157894736842,0.010263157894736842,0.5961538461538461,878,5,0.5606031517063528,2920,0.184,0.5434782608695652,0.09999999999999999
990,0.010263157894736842,0.009736842105263158,0.7413793103448276,960,5,0.5262326388888889,2950,0.172,0.6511627906976745,0.112
991,0.010263157894736842,0.009210526315789475,1.0,1009,6,1.1723625133952995,6236,0.144,1.0,0.144
992,0.010263157894736842,0.00868421052631579,0.4305555555555556,884,6,1.1333561966380705,3978,0.244,0.32786885245901637,0.07999999999999999
993,0.010263157894736842,0.008157894736842107,0.6071428571428571,757,4,0.6146594793813442,2715,0.168,0.47619047619047616,0.08
994,0.010263157894736842,0.007631578947368422,1.0,823,6,0.8327887924479832,3412,0.2,1.0,0.2
995,0.010263157894736842,0.007105263157894738,0.7070707070707071,768,4,0.4993472629123264,2739,0.28,0.5857142857142857,0.16400000000000003
996,0.010263157894736842,0.006578947368421054,1.0,829,6,0.8949727970246245,5019,0.224,1.0,0.224
997,0.010263157894736842,0.00605263157894737,0.44642857142857145,780,4,0.48309664694280086,2168,0.18,0.3111111111111111,0.056
998,0.010263157894736842,0.0055263157894736865,0.4852941176470588,708,6,0.8679418430208433,2864,0.208,0.3269230769230769,0.06799999999999999
999,0.010263157894736842,0.005,0.8285714285714286,716,4,0.4758805124683999,2159,0.116,0.7931034482758621,0.09200000000000001
1000,0.009736842105263158,0.015,1.0,1053,6,1.2280600175503624,6961,0.232,1.0,0.232
1001,0.009736842105263158,0.014473684210526316,1.0,1048,7,1.2096823830196377,7361,0.204,1.0,0.204
1002,0.009736842105263158,0.013947368421052632,0.8591549295774648,1122,6,1.07696022826567,5444,0.192,0.7916666666666666,0.152
1003,0.009736842105263158,0.013421052631578948,0.4375,1017,4,0.6081046980099373,3616,0.212,0.32075471698113206,0.06799999999999999
1004,0.009736842105263158,0.012894736842105263,1.0,1020,6,1.2358093041138023,7746,0.208,1.0,0.208
1005,0.009736842105263158,0.012368421052631579,1.0,992,7,1.697547110757024,6883,0.152,1.0,0.152
1006,0.009736842105263158,0.011842105263157895,1.0,966,9,1.9636030845860717,7354,0.152,1.0,0.152
1007,0.009736842105263158,0.011315789473684211,0.5584415584415584,1030,5,0.6784663964558394,3827,0.244,0.4426229508196721,0.108
1008,0.009736842105263158,0.010789473684210526,1.0,909,6,1.0580686231439427,4542,0.232,1.0,0.232
1009,0.009736842105263158,0.010263157894736842,0.9714285714285714,953,6,0.8377168691347476,4511,0.2,0.96,0.192
1010,0.009736842105263158,0.009736842105263158,1.0,848,5,0.8075480041829834,4459,0.232,1.0,0.232
1011,0.009736842105263158,0.009210526315789475,1.0,843,7,1.788860604883705,8751,0.252,1.0,0.252
1012,0.009736842105263158,0.00868421052631579,1.0,782,5,0.579262629103682,4491,0.172,1.0,0.172
1013,0.009736842105263158,0.008157894736842107,0.5666666666666667,676,6,0.7502779139385877,2135,0.196,0.46938775510204084,0.09200000000000001
1014,0.009736842105263158,0.007631578947368422,0.39622641509433965,707,4,0.5104181462801766,1844,0.168,0.23809523809523808,0.04
1015,0.009736842105263158,0.007105263157894738,0.9259259259259259,712,5,0.9692727401843202,2959,0.168,0.9047619047619048,0.15200000000000002
1016,0.009736842105263158,0.006578947368421054,0.5384615384615384,814,5,0.5028539260725993,2277,0.224,0.35714285714285715,0.08
1017,0.009736842105263158,0.00605263157894737,1.0,666,4,0.6410374338302266,2392,0.236,1.0,0.236
1018,0.009736842105263158,0.0055263157894736865,0.90625,635,6,1.9936164672329346,4060,0.18,0.8666666666666667,0.156
1019,0.009736842105263158,0.005,1.0,636,7,1.5158716031802537,5060,0.256,1.0,0.256
1020,0.009210526315789475,0.015,1.0,1137,6,1.7362467695311383,9143,0.204,1.0,0.204
1021,0.009210526315789475,0.014473684210526316,1.0,1009,6,0.8851574678242694,5243,0.108,1.0,0.108
1022,0.009210526315789475,0.013947368421052632,1.0,1057,8,1.3185690924762519,6027,0.128,1.0,0.128
1023,0.009210526315789475,0.013421052631578948,0.7121212121212122,1120,6,1.2122696109693878,7361,0.192,0.6041666666666666,0.11599999999999999
1024,0.009210526315789475,0.012894736842105263,1.0,903,5,0.7766016808742608,5916,0.16,1.0,0.16
1025,0.009210526315789475,0.012368421052631579,1.0,848,5,0.7518634300462799,3574,0.156,1.0,0.156
1026,0.009210526315789475,0.011842105263157895,1.0,871,7,0.8637656019118396,4703,0.14,1.0,0.14
1027,0.009210526315789475,0.011315789473684211,0.5967741935483871,819,5,0.9512747461465411,3318,0.188,0.46808510638297873,0.08800000000000001
1028,0.009210526315789475,0.010789473684210526,1.0,770,7,1.0729043683589137,5295,0.248,1.0,0.248
