,recombine_in_vector,recombine_in_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
1775,0.5789473684210527,0.21052631578947367,0.8133971291866029,1315,5,0.5063505327531118,5870,0.204,0.23529411764705882,0.047999999999999994
1776,0.5789473684210527,0.1578947368421053,0.8675078864353313,1382,5,0.4941013359693894,5950,0.212,0.20754716981132076,0.044
1777,0.5789473684210527,0.10526315789473695,0.7950310559006211,1233,6,0.6393047637653104,6364,0.168,0.21428571428571427,0.036
1778,0.5789473684210527,0.052631578947368474,0.9108910891089109,1550,4,0.4787766909469303,7213,0.148,0.5135135135135135,0.076
1779,0.5789473684210527,0.0,0.8431372549019608,1303,6,0.6253801222634584,5975,0.164,0.21951219512195122,0.036000000000000004
1780,0.5263157894736843,1.0,0.8736842105263158,1507,4,0.5482453262787371,7199,0.148,0.35135135135135137,0.052
1781,0.5263157894736843,0.9473684210526316,0.7714285714285715,1033,4,0.594767634189838,4647,0.144,0.1111111111111111,0.015999999999999997
1782,0.5263157894736843,0.8947368421052632,0.8012048192771084,1246,4,0.5554983008226646,5486,0.16,0.175,0.027999999999999997
1783,0.5263157894736843,0.8421052631578947,0.8754448398576512,1524,5,0.5717802130048705,7461,0.2,0.3,0.06
1784,0.5263157894736843,0.7894736842105263,0.868,1465,5,0.5401791517664738,6947,0.196,0.32653061224489793,0.064
1785,0.5263157894736843,0.736842105263158,0.8784313725490196,1418,5,0.5418948597619563,6557,0.172,0.27906976744186046,0.047999999999999994
1786,0.5263157894736843,0.6842105263157895,0.9119718309859155,1504,5,0.5374175072148031,6957,0.212,0.5283018867924528,0.112
1787,0.5263157894736843,0.631578947368421,0.8247863247863247,1448,5,0.5701520100119044,6942,0.176,0.06818181818181818,0.011999999999999999
1788,0.5263157894736843,0.5789473684210527,0.8675078864353313,1629,4,0.5007700740228237,7252,0.224,0.25,0.056
1789,0.5263157894736843,0.5263157894736843,0.7975460122699386,1523,5,0.6053461715719011,7853,0.136,0.029411764705882353,0.004
1790,0.5263157894736843,0.4736842105263158,0.84765625,1704,5,0.5642343891203244,8134,0.192,0.1875,0.036000000000000004
1791,0.5263157894736843,0.42105263157894735,0.8035714285714286,1530,5,0.5110273826306122,6958,0.22,0.2,0.044000000000000004
1792,0.5263157894736843,0.368421052631579,0.8442211055276382,1425,6,0.5970152046783626,6627,0.18,0.3111111111111111,0.056
1793,0.5263157894736843,0.3157894736842106,0.8577981651376146,1246,5,0.5595723329099346,5871,0.168,0.2619047619047619,0.044000000000000004
1794,0.5263157894736843,0.26315789473684215,0.7868852459016393,1471,4,0.485050426533188,6028,0.236,0.11864406779661017,0.028
1795,0.5263157894736843,0.21052631578947367,0.8594594594594595,1435,5,0.5644919812065219,6403,0.184,0.43478260869565216,0.08
1796,0.5263157894736843,0.1578947368421053,0.8487394957983193,1214,4,0.4242405326110263,5010,0.2,0.28,0.05600000000000001
1797,0.5263157894736843,0.10526315789473695,0.7851239669421488,1255,5,0.5856414977540039,5735,0.236,0.11864406779661017,0.028
1798,0.5263157894736843,0.052631578947368474,0.8502202643171806,1329,5,0.6226251117486232,6378,0.216,0.37037037037037035,0.07999999999999999
1799,0.5263157894736843,0.0,0.8512658227848101,1364,5,0.5639243513557675,6587,0.236,0.2033898305084746,0.048
1800,0.4736842105263158,1.0,0.8241758241758241,1619,5,0.5336917495720408,7664,0.152,0.15789473684210525,0.023999999999999997
1801,0.4736842105263158,0.9473684210526316,0.8401639344262295,1542,5,0.5322597196357586,7166,0.22,0.2909090909090909,0.064
1802,0.4736842105263158,0.8947368421052632,0.8258064516129032,1513,5,0.5698661828812116,7177,0.132,0.18181818181818182,0.024
1803,0.4736842105263158,0.8421052631578947,0.8746803069053708,1423,5,0.47129356140388134,5935,0.244,0.19672131147540983,0.048
1804,0.4736842105263158,0.7894736842105263,0.8375,1113,5,0.5749062173819333,5140,0.244,0.14754098360655737,0.036
1805,0.4736842105263158,0.736842105263158,0.8227848101265823,1519,5,0.5471566867950008,7256,0.132,0.15151515151515152,0.02
1806,0.4736842105263158,0.6842105263157895,0.8192090395480226,1502,5,0.5492583346483428,7055,0.16,0.2,0.032
1807,0.4736842105263158,0.631578947368421,0.8217821782178217,1737,5,0.6567872068153954,9511,0.196,0.2653061224489796,0.052000000000000005
1808,0.4736842105263158,0.5789473684210527,0.8423236514522822,1506,4,0.5149265708304452,6912,0.2,0.24,0.048
1809,0.4736842105263158,0.5263157894736843,0.8668831168831169,1643,4,0.4783168713318903,7187,0.212,0.22641509433962265,0.048
1810,0.4736842105263158,0.4736842105263158,0.8691275167785235,1343,5,0.5792856592385768,6003,0.2,0.22,0.044000000000000004
1811,0.4736842105263158,0.42105263157894735,0.8528138528138528,1525,4,0.4656107497984413,7081,0.188,0.2765957446808511,0.052000000000000005
1812,0.4736842105263158,0.368421052631579,0.8509933774834437,1459,5,0.6056323140949723,7197,0.232,0.22413793103448276,0.052000000000000005
1813,0.4736842105263158,0.3157894736842106,0.8529411764705882,1295,5,0.45976416571011164,5664,0.208,0.3269230769230769,0.06799999999999999
1814,0.4736842105263158,0.26315789473684215,0.8659217877094972,1438,4,0.47089819154636425,6176,0.144,0.3333333333333333,0.047999999999999994
1815,0.4736842105263158,0.21052631578947367,0.8600583090379009,1154,4,0.4715217058291708,4811,0.272,0.29411764705882354,0.08
1816,0.4736842105263158,0.1578947368421053,0.797979797979798,1095,4,0.41844498655157314,4082,0.2,0.2,0.04000000000000001
1817,0.4736842105263158,0.10526315789473695,0.7900552486187845,1142,4,0.4660065758600912,4629,0.18,0.15555555555555556,0.028
1818,0.4736842105263158,0.052631578947368474,0.8790035587188612,1074,4,0.4904826801771342,4296,0.272,0.5,0.136
1819,0.4736842105263158,0.0,0.9107142857142857,1370,5,0.5889738398422931,6591,0.096,0.5833333333333334,0.05600000000000001
1820,0.42105263157894735,1.0,0.8743718592964824,1427,4,0.4792231510723464,5995,0.156,0.358974358974359,0.056
1821,0.42105263157894735,0.9473684210526316,0.8165137614678899,1226,4,0.4926597191359585,5369,0.252,0.047619047619047616,0.012
1822,0.42105263157894735,0.8947368421052632,0.8431372549019608,1746,5,0.5766176067306191,8562,0.224,0.14285714285714285,0.032
1823,0.42105263157894735,0.8421052631578947,0.8284023668639053,1493,5,0.615254308003099,7256,0.152,0.23684210526315788,0.036
1824,0.42105263157894735,0.7894736842105263,0.8181818181818182,1315,5,0.5412574997469964,6044,0.132,0.2727272727272727,0.036
1825,0.42105263157894735,0.736842105263158,0.8093023255813954,1401,4,0.47812997853577616,6218,0.188,0.1276595744680851,0.023999999999999997
1826,0.42105263157894735,0.6842105263157895,0.8562300319488818,1519,5,0.5648981672135397,7152,0.204,0.11764705882352941,0.023999999999999997
1827,0.42105263157894735,0.631578947368421,0.8812260536398467,1715,5,0.5022512728539978,8041,0.16,0.225,0.036000000000000004
1828,0.42105263157894735,0.5789473684210527,0.890625,1396,5,0.6017171451794321,6432,0.168,0.5,0.084
1829,0.42105263157894735,0.5263157894736843,0.8553054662379421,1443,4,0.4970193286201602,6626,0.204,0.11764705882352941,0.023999999999999997
1830,0.42105263157894735,0.4736842105263158,0.8833922261484098,1415,4,0.5218973891545655,6507,0.204,0.35294117647058826,0.072
1831,0.42105263157894735,0.42105263157894735,0.90625,1553,4,0.5983500351810613,7490,0.188,0.48936170212765956,0.092
1832,0.42105263157894735,0.368421052631579,0.8709677419354839,1382,5,0.4715266157187407,6092,0.1,0.52,0.052000000000000005
1833,0.42105263157894735,0.3157894736842106,0.8521739130434782,1523,4,0.5082005872743993,6850,0.176,0.22727272727272727,0.039999999999999994
1834,0.42105263157894735,0.26315789473684215,0.867109634551495,1368,5,0.5818708106767895,6417,0.228,0.2982456140350877,0.068
1835,0.42105263157894735,0.21052631578947367,0.8,1068,5,0.5649924953358862,4600,0.168,0.16666666666666666,0.028
1836,0.42105263157894735,0.1578947368421053,0.8404255319148937,1350,5,0.6118518518518518,6592,0.224,0.19642857142857142,0.044
1837,0.42105263157894735,0.10526315789473695,0.7619047619047619,1314,5,0.5369571109860094,6058,0.128,0.0625,0.008
1838,0.42105263157894735,0.052631578947368474,0.8421052631578947,1413,5,0.5355587510374048,6333,0.204,0.23529411764705882,0.047999999999999994
1839,0.42105263157894735,0.0,0.8858447488584474,1188,5,0.5737679828588921,5150,0.188,0.46808510638297873,0.08800000000000001
1840,0.368421052631579,1.0,0.8823529411764706,1584,4,0.5106733369043974,7428,0.188,0.14893617021276595,0.027999999999999997
1841,0.368421052631579,0.9473684210526316,0.8134328358208955,1306,5,0.5021727965404108,5350,0.216,0.07407407407407407,0.016
1842,0.368421052631579,0.8947368421052632,0.8434782608695652,1579,5,0.5161009304756339,7175,0.212,0.32075471698113206,0.06799999999999999
1843,0.368421052631579,0.8421052631578947,0.8558139534883721,1375,5,0.5506242644628098,6463,0.164,0.24390243902439024,0.04
1844,0.368421052631579,0.7894736842105263,0.9006024096385542,1766,5,0.5188135910600251,8129,0.188,0.2978723404255319,0.055999999999999994
1845,0.368421052631579,0.736842105263158,0.8876712328767123,1558,4,0.47911438086747604,6863,0.228,0.2807017543859649,0.064
1846,0.368421052631579,0.6842105263157895,0.8905852417302799,1565,5,0.521819759311619,7262,0.244,0.29508196721311475,0.072
1847,0.368421052631579,0.631578947368421,0.8609865470852018,1512,4,0.5469467365135354,6855,0.196,0.3673469387755102,0.07200000000000001
1848,0.368421052631579,0.5789473684210527,0.8426966292134831,1288,5,0.48738233478646653,5488,0.228,0.2631578947368421,0.06
1849,0.368421052631579,0.5263157894736843,0.8563829787234043,1360,5,0.5366868512110727,6122,0.16,0.325,0.052000000000000005
1850,0.368421052631579,0.4736842105263158,0.8804347826086957,1231,5,0.5605172628832338,5606,0.104,0.5769230769230769,0.05999999999999999
1851,0.368421052631579,0.42105263157894735,0.7461538461538462,1232,5,0.5558668198684432,5462,0.14,0.05714285714285714,0.008
1852,0.368421052631579,0.368421052631579,0.8058252427184466,1143,4,0.47798574609494904,4831,0.176,0.09090909090909091,0.016
1853,0.368421052631579,0.3157894736842106,0.8782608695652174,1381,5,0.5286087540590437,6107,0.168,0.3333333333333333,0.056
1854,0.368421052631579,0.26315789473684215,0.8009950248756219,1405,4,0.4471898785476374,5840,0.204,0.21568627450980393,0.044
1855,0.368421052631579,0.21052631578947367,0.779874213836478,1034,5,0.526438611390667,4271,0.164,0.14634146341463414,0.024
1856,0.368421052631579,0.1578947368421053,0.8260869565217391,1139,4,0.4114371077011781,4370,0.232,0.1724137931034483,0.04000000000000001
1857,0.368421052631579,0.10526315789473695,0.8888888888888888,1094,4,0.5146837160646905,4812,0.084,0.6666666666666666,0.056
1858,0.368421052631579,0.052631578947368474,0.8606271777003485,1208,5,0.5417196614183588,5664,0.2,0.2,0.04000000000000001
1859,0.368421052631579,0.0,0.8701923076923077,990,5,0.4296510560146924,3797,0.176,0.38636363636363635,0.06799999999999999
1860,0.3157894736842106,1.0,0.8508771929824561,1329,5,0.5533616307174388,5779,0.084,0.19047619047619047,0.016
1861,0.3157894736842106,0.9473684210526316,0.8346774193548387,1335,5,0.47233430122459286,5745,0.18,0.08888888888888889,0.016
1862,0.3157894736842106,0.8947368421052632,0.7640449438202247,1399,4,0.4744520363519128,6038,0.184,0.08695652173913043,0.016
