,recombine_in_vector,recombine_in_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
3368,0.5789473684210527,0.5789473684210527,0.7142857142857143,933,3,0.3134789756102605,2637,0.092,0.043478260869565216,0.004
3369,0.5789473684210527,0.5263157894736843,0.8359375,1372,4,0.36481398056932063,4560,0.132,0.36363636363636365,0.048
3370,0.5789473684210527,0.4736842105263158,0.8,1213,4,0.5315621030482496,4785,0.236,0.22033898305084745,0.052
3371,0.5789473684210527,0.42105263157894735,0.7707317073170732,1240,4,0.3683344172736733,4071,0.204,0.0784313725490196,0.016
3372,0.5789473684210527,0.368421052631579,0.7668711656441718,1186,4,0.3256855557672566,3632,0.176,0.13636363636363635,0.023999999999999997
3373,0.5789473684210527,0.3157894736842106,0.7835820895522388,1204,4,0.360373367843622,3833,0.248,0.06451612903225806,0.016
3374,0.5789473684210527,0.26315789473684215,0.7428571428571429,952,3,0.34240939022667893,2801,0.036,0.0,0.0
3375,0.5789473684210527,0.21052631578947367,0.7346938775510204,1102,3,0.322950187911107,3296,0.176,0.11363636363636363,0.019999999999999997
3376,0.5789473684210527,0.1578947368421053,0.8070175438596491,1107,3,0.31182366626436514,3344,0.16,0.175,0.027999999999999997
3377,0.5789473684210527,0.10526315789473695,0.7391304347826086,1057,3,0.33328649208905087,3109,0.172,0.023255813953488372,0.003999999999999999
3378,0.5789473684210527,0.052631578947368474,0.7660818713450293,1023,3,0.32170345972256864,3039,0.184,0.13043478260869565,0.024
3379,0.5789473684210527,0.0,0.5643564356435643,1021,3,0.2914582216163792,2868,0.176,0.0,0.0
3380,0.5263157894736843,1.0,0.8070866141732284,1487,4,0.45623197503221136,5610,0.196,0.0,0.0
3381,0.5263157894736843,0.9473684210526316,0.826625386996904,1439,4,0.4251282524299508,5277,0.236,0.05084745762711865,0.012
3382,0.5263157894736843,0.8947368421052632,0.7230046948356808,1222,3,0.3145496770875467,3918,0.24,0.016666666666666666,0.004
3383,0.5263157894736843,0.8421052631578947,0.6554621848739496,1288,4,0.4115286591952471,4353,0.164,0.0,0.0
3384,0.5263157894736843,0.7894736842105263,0.6619718309859155,1041,3,0.34957704342883195,3186,0.192,0.0,0.0
3385,0.5263157894736843,0.736842105263158,0.7183098591549296,1211,3,0.33110197535527963,3824,0.164,0.024390243902439025,0.004
3386,0.5263157894736843,0.6842105263157895,0.8109243697478992,1265,4,0.3508569107469262,4115,0.2,0.1,0.020000000000000004
3387,0.5263157894736843,0.631578947368421,0.8064516129032258,1487,4,0.393605373447258,5191,0.248,0.03225806451612903,0.008
3388,0.5263157894736843,0.5789473684210527,0.7107438016528925,1225,4,0.3759673469387754,4206,0.144,0.027777777777777776,0.003999999999999999
3389,0.5263157894736843,0.5263157894736843,0.6991869918699187,1041,3,0.35094460454691007,3257,0.16,0.075,0.012
3390,0.5263157894736843,0.4736842105263158,0.631578947368421,1082,3,0.2947953574027695,3130,0.084,0.0,0.0
3391,0.5263157894736843,0.42105263157894735,0.7957317073170732,1334,4,0.38172218238706734,4544,0.268,0.0,0.0
3392,0.5263157894736843,0.368421052631579,0.6962025316455697,1178,4,0.3371985264656795,3675,0.096,0.0,0.0
3393,0.5263157894736843,0.3157894736842106,0.8041958041958042,1274,4,0.35824878194243526,4041,0.244,0.08196721311475409,0.019999999999999997
3394,0.5263157894736843,0.26315789473684215,0.7891566265060241,1191,4,0.40686480819975734,4205,0.152,0.07894736842105263,0.011999999999999999
3395,0.5263157894736843,0.21052631578947367,0.7745098039215687,1136,4,0.3791627405276731,3778,0.196,0.061224489795918366,0.012
3396,0.5263157894736843,0.1578947368421053,0.816793893129771,1297,3,0.32735290323616145,4221,0.212,0.09433962264150944,0.02
3397,0.5263157894736843,0.10526315789473695,0.7366071428571429,1056,4,0.3328598484848485,3140,0.248,0.04838709677419355,0.012
3398,0.5263157894736843,0.052631578947368474,0.7358490566037735,1070,3,0.34209537950912744,3147,0.168,0.0,0.0
3399,0.5263157894736843,0.0,0.8303571428571429,1072,4,0.32390896496992655,3123,0.228,0.3333333333333333,0.076
3400,0.4736842105263158,1.0,0.783625730994152,1251,4,0.3888112531557487,4154,0.156,0.05128205128205128,0.008
3401,0.4736842105263158,0.9473684210526316,0.8189655172413793,1401,4,0.3709657779876819,5013,0.272,0.07352941176470588,0.02
3402,0.4736842105263158,0.8947368421052632,0.768361581920904,1336,4,0.3825068799526696,4385,0.172,0.046511627906976744,0.007999999999999998
