,contact_rate_host_host,mutant_frac,infected_hosts,Alive,depth
175,0.009818181818181818,0.8250795093139482,0.574,True,0.95 original drop
176,0.008363636363636363,0.0,0.0,False,0.95 original drop
177,0.006909090909090908,0.8638888888888889,0.33899999999999997,True,0.95 original drop
178,0.005454545454545453,1.0,0.067,True,0.95 original drop
179,0.004,0.0,0.0,False,0.95 original drop
180,0.02,0.0,0.0,False,0.95 original drop
181,0.018545454545454542,0.8206022187004754,0.765,True,0.95 original drop
182,0.01709090909090909,0.0,0.0,False,0.95 original drop
183,0.01563636363636364,0.0,0.0,False,0.95 original drop
184,0.01418181818181818,0.8740043446777698,0.6809999999999999,True,0.95 original drop
185,0.012727272727272726,0.0,0.0,False,0.95 original drop
186,0.011272727272727271,0.0,0.0,False,0.95 original drop
187,0.009818181818181818,0.0,0.0,False,0.95 original drop
188,0.008363636363636363,0.8974175035868006,0.436,True,0.95 original drop
189,0.006909090909090908,0.0,0.0,False,0.95 original drop
190,0.005454545454545453,1.0,0.166,True,0.95 original drop
191,0.004,0.0,0.0,False,0.95 original drop
192,0.02,0.0,0.0,False,0.95 original drop
193,0.018545454545454542,0.0,0.0,False,0.95 original drop
194,0.01709090909090909,0.7746427262733602,0.738,True,0.95 original drop
195,0.01563636363636364,0.7353700516351118,0.69,True,0.95 original drop
196,0.01418181818181818,0.0,0.0,False,0.95 original drop
197,0.012727272727272726,0.8492333901192505,0.619,True,0.95 original drop
198,0.011272727272727271,0.7669333333333334,0.555,True,0.95 original drop
199,0.009818181818181818,0.0,0.0,False,0.95 original drop
200,0.008363636363636363,0.8403361344537815,0.442,True,0.95 original drop
201,0.006909090909090908,0.8737060041407867,0.319,True,0.95 original drop
202,0.005454545454545453,0.9780621572212066,0.18100000000000002,True,0.95 original drop
203,0.004,0.0,0.0,False,0.95 original drop
204,0.02,0.0,0.0,False,0.95 original drop
205,0.018545454545454542,0.0,0.0,False,0.95 original drop
206,0.01709090909090909,0.0,0.0,False,0.95 original drop
207,0.01563636363636364,0.0,0.0,False,0.95 original drop
208,0.01418181818181818,0.0,0.0,False,0.95 original drop
209,0.012727272727272726,0.0,0.0,False,0.95 original drop
210,0.011272727272727271,0.0,0.0,False,0.95 original drop
211,0.009818181818181818,0.0,0.0,False,0.95 original drop
212,0.008363636363636363,0.0,0.0,False,0.95 original drop
213,0.006909090909090908,0.9032863849765258,0.32799999999999996,True,0.95 original drop
214,0.005454545454545453,1.0,0.001,True,0.95 original drop
215,0.004,0.0,0.0,False,0.95 original drop
216,0.02,0.0,0.0,False,0.95 original drop
217,0.018545454545454542,0.0,0.0,False,0.95 original drop
218,0.01709090909090909,0.0,0.0,False,0.95 original drop
219,0.01563636363636364,0.0,0.0,False,0.95 original drop
220,0.01418181818181818,0.0,0.0,False,0.95 original drop
221,0.012727272727272726,0.0,0.0,False,0.95 original drop
222,0.011272727272727271,0.0,0.0,False,0.95 original drop
223,0.009818181818181818,0.0,0.0,False,0.95 original drop
224,0.008363636363636363,1.0,0.064,True,0.95 original drop
225,0.006909090909090908,0.8353726362625139,0.306,True,0.95 original drop
226,0.005454545454545453,1.0,0.151,True,0.95 original drop
227,0.004,0.0,0.0,False,0.95 original drop
228,0.02,0.0,0.0,False,0.95 original drop
229,0.018545454545454542,0.8453738910012675,0.7659999999999999,True,0.95 original drop
230,0.01709090909090909,0.0,0.0,False,0.95 original drop
231,0.01563636363636364,0.0,0.0,False,0.95 original drop
232,0.01418181818181818,0.8226401179941003,0.7040000000000001,True,0.95 original drop
233,0.012727272727272726,0.0,0.0,False,0.95 original drop
234,0.011272727272727271,0.0,0.0,False,0.95 original drop
235,0.009818181818181818,0.0,0.0,False,0.95 original drop
236,0.008363636363636363,1.0,0.006,True,0.95 original drop
237,0.006909090909090908,0.0,0.0,False,0.95 original drop
238,0.005454545454545453,0.9959349593495936,0.171,True,0.95 original drop
239,0.004,0.0,0.0,False,0.95 original drop
240,0.02,0.0,0.0,False,0.95 original drop
241,0.018545454545454542,0.0,0.0,False,0.95 original drop
242,0.01709090909090909,0.0,0.0,False,0.95 original drop
243,0.01563636363636364,0.0,0.0,False,0.95 original drop
244,0.01418181818181818,0.0,0.0,False,0.95 original drop
245,0.012727272727272726,0.0,0.0,False,0.95 original drop
246,0.011272727272727271,0.0,0.0,False,0.95 original drop
247,0.009818181818181818,0.0,0.0,False,0.95 original drop
248,0.008363636363636363,0.8508254716981132,0.489,True,0.95 original drop
249,0.006909090909090908,0.8851894374282434,0.275,True,0.95 original drop
250,0.005454545454545453,0.9834254143646408,0.163,True,0.95 original drop
251,0.004,0.0,0.0,False,0.95 original drop
252,0.02,0.0,0.0,False,0.95 original drop
253,0.018545454545454542,0.0,0.0,False,0.95 original drop
254,0.01709090909090909,0.0,0.0,False,0.95 original drop
255,0.01563636363636364,0.0,0.0,False,0.95 original drop
256,0.01418181818181818,0.0,0.0,False,0.95 original drop
257,0.012727272727272726,0.0,0.0,False,0.95 original drop
258,0.011272727272727271,0.8005208333333333,0.5479999999999999,True,0.95 original drop
259,0.009818181818181818,0.7817482133040132,0.532,True,0.95 original drop
260,0.008363636363636363,0.0,0.0,False,0.95 original drop
261,0.006909090909090908,1.0,0.027000000000000003,True,0.95 original drop
262,0.005454545454545453,1.0,0.2,True,0.95 original drop
263,0.004,0.0,0.0,False,0.95 original drop
264,0.02,0.0,0.0,False,0.95 original drop
265,0.018545454545454542,0.0,0.0,False,0.95 original drop
266,0.01709090909090909,0.0,0.0,False,0.95 original drop
267,0.01563636363636364,0.0,0.0,False,0.95 original drop
268,0.01418181818181818,0.0,0.0,False,0.95 original drop
269,0.012727272727272726,0.0,0.0,False,0.95 original drop
270,0.011272727272727271,0.7940896091515729,0.581,True,0.95 original drop
271,0.009818181818181818,0.0,0.0,False,0.95 original drop
272,0.008363636363636363,0.7573189522342064,0.408,True,0.95 original drop
273,0.006909090909090908,0.8576388888888888,0.349,True,0.95 original drop
274,0.005454545454545453,0.9869203329369798,0.26,True,0.95 original drop
275,0.004,0.0,0.0,False,0.95 original drop
276,0.02,0.0,0.0,False,0.95 original drop
277,0.018545454545454542,0.0,0.0,False,0.95 original drop
278,0.01709090909090909,0.0,0.0,False,0.95 original drop
