,mean_inoculum_host,mean_inoculum_vector,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
1095,3.3684210526315796,2.8947368421052637,0.4074074074074074,791,3,0.23508784828051354,1509,0.148,0.13513513513513514,0.02
1096,3.3684210526315796,2.421052631578948,0.5454545454545454,856,3,0.24148397239933617,1610,0.18,0.3333333333333333,0.06
1097,3.3684210526315796,1.9473684210526319,0.26,774,4,0.2920647797608317,1531,0.16,0.075,0.012
1098,3.3684210526315796,1.4736842105263168,0.8536585365853658,889,4,0.41745063081962897,2084,0.12,0.8,0.096
1099,3.3684210526315796,1.0,0.5,851,5,0.5982068514127983,2786,0.2,0.26,0.052000000000000005
1100,2.8947368421052637,10.0,0.627906976744186,967,4,0.30960047653218037,2039,0.192,0.3333333333333333,0.064
1101,2.8947368421052637,9.526315789473685,0.1935483870967742,889,4,0.2764648794603711,1828,0.212,0.05660377358490566,0.012
1102,2.8947368421052637,9.052631578947368,0.6486486486486487,893,3,0.27376296164394215,1884,0.228,0.3157894736842105,0.072
1103,2.8947368421052637,8.578947368421053,0.6593406593406593,853,3,0.295026587081798,1821,0.232,0.46551724137931033,0.108
1104,2.8947368421052637,8.105263157894736,0.23076923076923078,844,4,0.2985037959614564,1849,0.128,0.0625,0.008
1105,2.8947368421052637,7.631578947368421,0.42857142857142855,836,5,0.5489514892058331,2316,0.208,0.23076923076923078,0.048
1106,2.8947368421052637,7.157894736842105,0.43478260869565216,847,4,0.3122486615027133,1942,0.184,0.15217391304347827,0.028
1107,2.8947368421052637,6.684210526315789,0.5301204819277109,857,4,0.29664142779144637,1776,0.212,0.2641509433962264,0.056
1108,2.8947368421052637,6.210526315789474,0.6477272727272727,848,4,0.25831590423638306,1672,0.208,0.40384615384615385,0.08399999999999999
1109,2.8947368421052637,5.736842105263158,0.48717948717948717,945,4,0.3576316452506929,2207,0.22,0.2727272727272727,0.06
1110,2.8947368421052637,5.2631578947368425,0.45161290322580644,910,3,0.2804600893611883,1975,0.16,0.15,0.024
1111,2.8947368421052637,4.7894736842105265,0.26865671641791045,883,4,0.3411796241834886,2125,0.208,0.057692307692307696,0.012
1112,2.8947368421052637,4.315789473684211,0.8571428571428571,924,3,0.2849506193662037,1922,0.172,0.7906976744186046,0.13599999999999998
1113,2.8947368421052637,3.8421052631578947,0.4927536231884058,902,4,0.28813648900447886,1929,0.196,0.2857142857142857,0.056
1114,2.8947368421052637,3.3684210526315796,0.7719298245614035,956,4,0.3315461914182174,2246,0.128,0.59375,0.076
1115,2.8947368421052637,2.8947368421052637,0.46153846153846156,961,3,0.2663891779396462,1937,0.236,0.1694915254237288,0.039999999999999994
1116,2.8947368421052637,2.421052631578948,0.5081967213114754,981,4,0.3395794301722535,2139,0.16,0.25,0.04
1117,2.8947368421052637,1.9473684210526319,0.5614035087719298,971,4,0.20451380455453252,1635,0.268,0.2537313432835821,0.068
1118,2.8947368421052637,1.4736842105263168,0.5681818181818182,816,4,0.3494749615532487,1850,0.132,0.42424242424242425,0.056
1119,2.8947368421052637,1.0,0.5,906,6,0.47743154540005556,2347,0.136,0.29411764705882354,0.04
1120,2.421052631578948,10.0,0.36619718309859156,717,4,0.37832359766499574,1728,0.192,0.0625,0.012
1121,2.421052631578948,9.526315789473685,0.4578313253012048,874,3,0.25017803936764604,1745,0.22,0.18181818181818182,0.04
1122,2.421052631578948,9.052631578947368,0.40298507462686567,952,4,0.45102305628133604,2724,0.216,0.25925925925925924,0.055999999999999994
1123,2.421052631578948,8.578947368421053,0.7368421052631579,898,4,0.3150182786791732,2096,0.212,0.5283018867924528,0.112
1124,2.421052631578948,8.105263157894736,0.6363636363636364,820,4,0.27004610350981556,1673,0.192,0.3333333333333333,0.064
1125,2.421052631578948,7.631578947368421,0.3508771929824561,859,4,0.2868484213579154,1840,0.172,0.13953488372093023,0.023999999999999997
1126,2.421052631578948,7.157894736842105,0.6125,849,4,0.3428047408369301,2007,0.2,0.38,0.07600000000000001
1127,2.421052631578948,6.684210526315789,0.6060606060606061,895,4,0.3501463749570862,2107,0.08,0.35,0.027999999999999997
1128,2.421052631578948,6.210526315789474,1.0,731,4,0.442416269151379,2161,0.096,1.0,0.096
1129,2.421052631578948,5.736842105263158,0.29411764705882354,947,4,0.31491209387952174,1980,0.276,0.13043478260869565,0.036000000000000004
1130,2.421052631578948,5.2631578947368425,0.5436893203883495,849,4,0.3040367591054951,1854,0.248,0.24193548387096775,0.060000000000000005
1131,2.421052631578948,4.7894736842105265,0.43333333333333335,967,4,0.29687869283030816,1992,0.164,0.17073170731707318,0.028000000000000004
1132,2.421052631578948,4.315789473684211,0.5862068965517241,928,4,0.280886546893579,1883,0.164,0.4146341463414634,0.068
1133,2.421052631578948,3.8421052631578947,0.5,893,4,0.37212661875555686,2032,0.184,0.2826086956521739,0.052
1134,2.421052631578948,3.3684210526315796,0.45,952,5,0.4579478850363675,2712,0.22,0.2,0.044000000000000004
1135,2.421052631578948,2.8947368421052637,0.5681818181818182,863,3,0.2234249814371973,1567,0.128,0.40625,0.052000000000000005
1136,2.421052631578948,2.421052631578948,0.4696969696969697,937,5,0.4202312382327851,2567,0.188,0.2553191489361702,0.047999999999999994
1137,2.421052631578948,1.9473684210526319,0.8620689655172413,896,4,0.35550362723214285,2130,0.224,0.7857142857142857,0.176
1138,2.421052631578948,1.4736842105263168,1.0,843,4,0.3891991686472506,2296,0.2,1.0,0.2
1139,2.421052631578948,1.0,0.46153846153846156,855,5,0.5694333299134777,2494,0.208,0.3269230769230769,0.06799999999999999
1140,1.9473684210526319,10.0,0.7727272727272727,892,4,0.4325393633493535,2640,0.208,0.7115384615384616,0.148
